* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905111946,15.4505"
"20190905111952,15.4507"
"20190905111958,15.4517"
"20190905112004,15.4521"
"20190905112010,15.4521"
"20190905112016,15.4526"
"20190905112022,15.4534"
"20190905112028,15.4540"
"20190905112034,15.4547"
"20190905112040,15.4558"
"20190905112046,15.4560"
"20190905112052,15.4564"
"20190905112058,15.4561"
"20190905112104,15.4553"
"20190905112110,15.4553"
"20190905112116,15.4557"
"20190905112122,15.4562"
"20190905112128,15.4566"
"20190905112134,15.4565"
"20190905112140,15.4563"
"20190905112146,15.4560"
"20190905112152,15.4566"
"20190905112158,15.4577"
"20190905112204,15.4578"
"20190905112210,15.4579"
"20190905112216,15.4577"
"20190905112222,15.4574"
"20190905112228,15.4574"
"20190905112234,15.4574"
"20190905112240,15.4570"
"20190905112246,15.4568"
"20190905112252,15.4563"
"20190905112258,15.4566"
"20190905112304,15.4564"
"20190905112310,15.4565"
"20190905112316,15.4558"
"20190905112322,15.4559"
"20190905112328,15.4555"
"20190905112334,15.4547"
"20190905112340,15.4520"
"20190905112346,15.4508"
"20190905112352,15.4511"
"20190905112358,15.4507"
"20190905112404,15.4505"
"20190905112410,15.4491"
"20190905112416,15.4484"
"20190905112422,15.4458"
"20190905112428,95.9454"
"20190905112434,15.4440"
"20190905112440,15.4439"
"20190905112446,15.4429"
"20190905112452,15.4416"
"20190905112458,15.4414"
"20190905112504,15.4402"
"20190905112510,15.4390"
"20190905112516,15.4389"
"20190905112522,15.4384"
"20190905112528,15.4380"
"20190905112534,15.4387"
"20190905112540,15.4382"
"20190905112546,15.4386"
"20190905112552,15.4386"
"20190905112558,15.4382"
"20190905112604,15.4374"
"20190905112610,15.4382"
"20190905112616,15.4393"
"20190905112622,15.4401"
"20190905112628,15.4411"
"20190905112634,15.4418"
"20190905112640,15.4426"
"20190905112646,15.4435"
"20190905112652,15.4438"
"20190905112658,15.4452"
"20190905112704,15.4459"
"20190905112710,15.4460"
"20190905112716,15.4466"
"20190905112722,15.4481"
"20190905112728,15.4489"
"20190905112734,15.4500"
"20190905112740,15.4502"
"20190905112746,15.4510"
"20190905112752,15.4510"
"20190905112758,15.4523"
"20190905112804,15.4535"
"20190905112810,15.4546"
"20190905112816,15.4546"
"20190905112822,15.4555"
"20190905112828,15.4560"
"20190905112834,15.4578"
"20190905112840,15.4590"
"20190905112846,15.4601"
"20190905112852,15.4605"
"20190905112858,15.4608"
"20190905112904,15.4615"
"20190905112910,15.4631"
"20190905112916,15.4637"
"20190905112922,15.4633"
"20190905112928,15.4629"
"20190905112934,15.4628"
"20190905112940,15.4626"
"20190905112946,15.4629"
"20190905112952,15.4631"
"20190905112958,15.4633"
"20190905113004,15.4619"
"20190905113010,15.4624"
"20190905113016,15.4620"
"20190905113022,15.4609"
"20190905113028,15.4614"
"20190905113034,15.4612"
"20190905113040,15.4617"
